treatment_id,guideline_status,guideline_source_type,guideline_note
T001,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T002,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T003,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T004,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T005,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T006,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T007,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T008,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T009,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T010,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T011,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T012,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T013,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T014,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
T015,PROJECT_SUPPORTED,PROJECT_CONFIGURATION,Supported by the project's disease/severity treatment mapping; not a claim of national/international guideline approval.
