disease_id,severity_id,temperature_min,temperature_max,heart_rate_min,heart_rate_max,respiratory_rate_min,respiratory_rate_max,spo2_min,spo2_max,systolic_bp_min,systolic_bp_max,diastolic_bp_min,diastolic_bp_max
D001,SV001,38,39,80,100,16,20,97,100,100,120,60,80
D001,SV002,38.5,39.5,95,115,18,24,96,99,95,115,60,75
D001,SV003,39,40,110,130,22,30,94,98,85,105,55,70
D002,SV001,38.5,39.5,85,105,18,22,97,100,100,120,65,80
D002,SV002,39,40,95,115,20,24,96,99,95,115,60,75
D002,SV003,39.5,40.5,110,130,24,30,93,97,85,105,55,70
D003,SV001,38,39,80,100,16,20,97,100,100,120,65,80
D003,SV002,38.5,39.5,90,110,18,22,96,99,95,115,60,75
D003,SV003,39,40,100,120,22,28,95,98,90,110,55,70
D004,SV001,37.5,38.5,75,95,16,20,97,100,105,125,65,80
D004,SV002,38,39,90,110,20,24,94,97,95,115,60,75
D004,SV003,38.5,40,100,125,24,32,88,94,85,105,55,70
D005,SV001,37.5,38.5,75,95,16,20,96,99,105,125,65,80
D005,SV002,38,39,90,110,20,26,90,95,95,115,60,75
D005,SV003,38.5,40,100,130,26,35,80,90,85,105,55,70
D006,SV001,37,38,75,90,16,20,96,99,100,120,65,80
D006,SV002,37.5,38.5,85,100,18,24,93,97,95,115,60,75
D006,SV003,38,39,95,120,24,32,88,94,85,105,55,70
D007,SV001,38,39,80,100,16,20,97,100,100,120,65,80
D007,SV002,38.5,39.5,90,110,18,24,96,99,95,115,60,75
D007,SV003,39,40,105,125,22,30,94,98,85,105,55,70
D008,SV001,37.5,38.5,80,95,16,20,97,100,100,120,65,80
D008,SV002,38,39,90,110,18,24,96,99,90,110,55,70
D008,SV003,38.5,40,105,125,22,30,94,98,80,100,50,65
